Career (Small List),Matched Careers (Large List)
Marketing Compliance Officer,"Customer Relationship Manager, Commercial Executive/Officer, Area Sales Officer"
Market Research Analyst,"Financial Analyst, Operations Research Analyst, Market Research Analyst"
Warehouse Compliance Manager,"Warehouse Claims Coordinator, Warehouse Supervisor, Warehouse Supervisor"
Cybersecurity Compliance Consultant,"Personal Security Officer, Security Supervisor, Security Officer"
Natural Resource Manager,"General Manager Agriculture Farm, General Manager, Plantation, Human Resource Manager"
Building Inspector,"School Inspector, Works Inspector, Engineering, Works Inspector, Engineering"
Film and Video Editor,"Movie Cameraman, Photographic Film and Paper Maker, Film Producer"
Business Consultant,"Travel Consultant, Visa Assistant Consultant, Sales Consultant (Institutional Sales)"
Education Policy Analyst,"Budget Analyst, Operations Research Analyst, University and College Teacher, Information Technology"
Budget Analyst,"Risk Management Analyst, Financial Analyst, Budget Analyst"
Legislative Assistant,"Receiving Assistant, Office Assistant, Legal Assistant"
Healthcare Consultant,"Assistant Beauty/Wellness Consultant, Physician, General, Service Advisor"
Tour Guide,"Travel Agent, Travel Consultant, Tourist Guide"
Rehabilitation Counselor,"Clinical Psychologist, Vocational Rehabilitation Counsellor, Counselling Psychologist"
Cybersecurity Analyst,"Security Officer, Operations Research Analyst, Risk Management Analyst"
Correctional Officer,"Personal Security Officer, Security Officer, Probation Officer"
Logistics Manager,"Warehouse Supervisor, Supervisor and Foreman, Material and Freight Handling, Transport Manager"
Public Relations Specialist,"Guest Relations Manager, Director of Communications, Public Relations Officer"
Transportation Planner,"Planner, Transport Manager, Traffic Planner"
Software Developer,"Software Tester, Embedded Software Engineer, Front-End Developer"
Natural Resources Manager,"General Manager Agriculture Farm, Human Resource Manager, General Manager, Plantation"
Facility Manager,"Service Supervisor, Area Service Manager, Personnel Manager"
Audio/Visual Systems Manager,"Sound Engineer, Sound Editor, Sound Designer"
Supply Chain Manager,"Supply Chain Field Assistant, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Education Administrator,"Principal, College, Hospital Administrator, Health Educator"
Accountant,"Auditor, Cost Accountant, Accountant"
Urban and Regional Planner,"Planner, Town Planner, Planning Supervisor"
Healthcare Consultant,"Assistant Beauty/Wellness Consultant, Physician, General, Service Advisor"
Tourism Development Specialist,"Commercial Traveller, General, Travel Consultant &amp; Organiser, Tourist Guide"
Nonprofit Organization Director,"Director, Bank, Account Director (Advertising Agency), Director of Other Services"
Information Security Analyst,"Risk Management Analyst, Information Officer, Security Officer"
Loss Prevention Manager,"Works Poor Attendant, Director, Disaster Management Services, Fire Prevention Officer"
Plant Manager,"Manager, Food Processing Plant, General Manager, Plantation, Manager, Plantation"
Advertising Manager,"Manager, Advertising and Promotion, Advertising Sales Agent, Advertising Operations Coordinator (Digital)"
Distribution Manager,"Sales Manager, Sales Manager, Technical Helper (Distribution)"
Financial Data Analyst,"Risk Management Analyst, Budget Analyst, Financial Analyst"
Sustainable Farming Advocate,"Crop Farmer, Manager, Agriculture Farm, General Manager Agriculture Farm"
Interior Designer,"Designer (CAD), Furniture Designer, Interior Designer"
Sound Designer,"Sound Engineer, Sound Engineer, Sound Designer"
Brand Manager,"Sales Manager, Product Brand Manager, Brand Manager"
Museum Educator,"University and College Teacher, Fine Arts, Art Teacher, Museum Curator"
Grant Manager,"Procurement Executive, Personnel Manager, Service Advisor"
Cultural Heritage Manager,"Archaeologist, Monument Caretaker, Museum Curator"
Health Communications Specialist,"Medical Equipment Technician, Medical Records and Health Information Technician, Health Officer"
Cultural Heritage Site Manager,"Monument Caretaker, Archaeologist, Museum Curator"
Youth Program Coordinator (Arts),"Trainee Associate, Senior Secondary and Secondary School Teacher, Arts, IT Coordinator in School"
Visual Effects (VFX) Artist,"Theatrical and Media Make-Up Artist, Drawing Artist, Rendering Artist"
Museum Security Specialist,"Security Supervisor, Security Officer, Museum Curator"
Custom Furniture Designer,"Furniture Maker (Wood), Furniture Maker, Furniture Designer"
Social Media Manager (Arts Focus),"Digital Marketing Manager, Manager, Recreation and Entertainment, Marketing &amp; Social Media Manager"
Tour Manager (Performing Arts),"Stage Producer, Manager, Recreation and Entertainment, General Manager, Recreation and Entertainment"
Medical Animator,"Rendering Artist, Animator, Animator"
Environmental Scientist,"Environmental Engineering Technician, Environmental Science and Protection Technician, Including Health, Environmental Scientist"
Building Inspector,"School Inspector, Works Inspector, Engineering, Works Inspector, Engineering"
Social Media Manager (Sports),"Manager, Recreation and Entertainment, Sports Coach, Marketing &amp; Social Media Manager"
Operations Manager (Sports Facility),"Personnel Manager, Sports Coach, Manager, Flight Operations"
Fitness Trainer Educator,"Trainer, Physical Training Instructor/Physical Education Teacher, Fitness Trainer"
Risk Management Specialist,"Manager, Insurance, Operations Research Analyst, Risk Management Analyst"
Urban Recreation Planner,"Manager, Recreation and Entertainment, Town Planner, Booking Clerk, Recreation"
Sports Medicine Physician,"Sports Coach, Medical Physiologist, Physician, General"
Travel Consultant (Sports),"Travel Agent, Travel Consultant &amp; Organiser, Travel Consultant"
Nonprofit Program Manager (Sports),"Manager, Recreation and Entertainment, Health Club Manager, Sports Coach"
E-Sports Manager,"Health Club Manager, Athletic Coach, Sports Coach"
Regulatory Affairs Manager (Sports),"Athletic Coach, Building Operator Sports Goods, Sports Coach"
Inventory Control Specialist (Sports Products),"Inventory Manager (Wholesale), Building Operator Sports Goods, Inventory Manager"
Advertising Account Executive (Sports),"Sales Executive, Account Executive (Advertising Agency), Account Director (Advertising Agency)"
Distribution Manager (Sports Goods),"Sales Manager (Wholesale Trade), Sports Goods Maker, Wood, Building Operator Sports Goods"
Exercise Scientist,"Laboratory Assistant, Physical, Laboratory Technician, Physical Analysis, Fitness Trainer"
Sustainable Agriculture Consultant,"Agriculture Field Officer, Manager, Agriculture Farm, General Manager Agriculture Farm"
Architectural Historian,"Archaeologist, Historian, Architect"
Audio/Visual Technician,"Electronic Technician, Sound Engineer, Sound Engineer"
Corporate Trainer,"Make-Up Trainer, Trainer, Fitness Trainer"
Training Specialist,"Physical Security Trainer, Trainer, Certified Training Assessor"
Financial Consultant,"Visa Assistant Consultant, Financial Analyst, Finance Agent"
Grant Writer,"Commentary Writer, Creative Writer, Columnist"
Clinical Research Coordinator,"Cancer Specialist, Laboratory Assistant, Clinical, Medical Laboratory Technician"
Food and Beverage Manager,"Laboratory Assistant, Food &amp; Beverages, Manager, Fast Food Service, Food &amp; Beverage Service - Steward"
Community Organizer,"Child Welfare Organizer, Community Service Provider, Family Planning Organizer"
Cybersecurity Awareness Trainer,"Security Supervisor, Information Technology (IT) Trainer, Physical Security Trainer"
Victim Advocate,"Counsellor, Advocate General, Advocate"
Manufacturing Compliance Specialist,"Factory Compliance Auditor, Manager, Manufacturing, Manager, Manufacturing"
Public Relations Manager,"Personnel Manager, Guest Relations Manager, Public Relations Officer"
Import/Export Coordinator,"Manager, Export, Manager, Import and Export, Manager, Import and Export"
Project Manager for STEM Initiatives,"Business Development Executive, Product Development Manager, Manager, Construction"
Public Relations Specialist in Agribusiness,"Vendor Development Executive, General Manager Agriculture Farm, Public Relations Officer"
Architecture Podcast Host,"Intern, Radio Commentator, Embedded Software Engineer"
Sound Designer,"Sound Engineer, Sound Engineer, Sound Designer"
Brand Strategist,"Fashion Manager, Brand Manager, Product Brand Manager"
Public Speaking Coach,"Athletic Coach, Programme Announcer, Sports Coach"
Financial Podcast Host,"Showroom Hostess/Host, Business Correspondent, Radio Commentator"
Policy Analyst (Media Focus),"Operations Research Analyst, Traffic Coordinator (Media Organization), Marketing &amp; Social Media Manager"
Health Podcaster,"Radio Commentator, Speech Therapist and Audiologist, Speech Audio Therapy Assistant"
Travel Content Creator,"Travel Consultant, Travel Agent, Travel Consultant &amp; Organiser"
Human Services Content Creator,"Service Advisor, Community Service Provider, Human Resource Manager"
Tech Podcast Host,"Radio Mechanic, Radio Technician, Radio Commentator"
Forensic Science Communicator,"Detective, Forensic Science Technician, Forensic Chemist"
Technical Writer (Manufacturing),"Working Proprietor, Manufacturing, Manager, Manufacturing, Manager, Manufacturing"
Public Relations Specialist,"Guest Relations Manager, Director of Communications, Public Relations Officer"
Social Media Manager (Transportation),"Traffic Coordinator (Media Organization), Transport Manager, Marketing &amp; Social Media Manager"
Public Relations Specialist (STEM),"Administrative &amp; Executive Official, Advocate General, Public Relations Officer"
Environmental Consultant,"Environmental Compliance Inspector, Environmental Scientist, Environmental Engineering Technician"
Sustainable Building Consultant,"General Manager, Construction, Building Operator, Architect"
Multimedia Artist,"Rendering Artist, Commercial Artist, Theatrical and Media Make-Up Artist"
Retail Space Designer,"Furniture Designer, Interior Designer, Design Merchandiser"
Corporate Trainer,"Make-Up Trainer, Trainer, Fitness Trainer"
Bank Marketing Designer,"Bank Clerk, Bank Manager, General Manager, Bank"
Civic Monument Designer,"Construction Painter and Decorator, Monument Caretaker, Architect"
Medical Exhibit Designer,"Equipment Designer, Medical Equipment Technician, Medical Laboratory Technician"
Tourism Experience Designer,"Travel Consultant &amp; Organiser, Travel Consultant, Tourist Guide"
Senior Living Architect,"Naval Architect, Construction Painter and Decorator, Architect"
Cybersecurity Facility Designer,"Security Officer, Security Supervisor, Computer Designer"
Emergency Operations Center Designer,"Director, Disaster Management Services, Emergency Medical Technician - Advanced (EMT-Advanced), Emergency Medical Technician - Basic"
Product Designer,"Design Merchandiser, Product Design Engineer, Product Design Manager"
Trade Show Exhibit Designer,"Merchandiser, Merchandiser, Design Merchandiser"
Vehicle Interior Designer,"Automobile Body Builder, Automobile Designer, Interior Designer"
Occupation F,"Working Proprietor, Transport, Working Proprietor, Construction, Employment Officer/Operation Head, Employment"
Agricultural Inspectors,"Agriculture Field Officer, Fisheries Inspector, Fisheries Inspector"
Construction and Building Inspectors,"Works Inspector, Engineering, Works Inspector, Engineering, Inspectors and Supervisors, Other (Clerical)"
Broadcast News Analysts,"Reporter, Radio Commentator, News Reporter"
Industrial Engineer,"Production Engineer, Industrial Engineer, Industrial Engineer Executive"
Corporate STEM Trainer,"Make-Up Trainer, Fitness Trainer, Trainer"
Financial Engineer,"Infrastructure Engineer, Financial Analyst, Industrial Engineer Executive"
Public Health Administrator,"Public Relations Officer, Hospital Administrator, Health Officer"
Public Health Analyst,"Hospital Administrator, Health Educator, Health Officer"
Tourism Researcher,"Commercial Traveller, General, Commercial Traveller, General, Tourist Guide"
Public Health Analyst,"Hospital Administrator, Health Educator, Health Officer"
Machine Learning Engineer,"Tool Engineer, Design Engineer, Machine Designer"
Intelligence Analyst,"Financial Analyst, Core Analyst, Operations Research Analyst"
Supply Chain Analyst,"Risk Management Analyst, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Email Marketing Specialist,"Customer Relationship Executive, Advertising Operations Coordinator (Digital), Digital Marketing Manager"
Transportation Safety Specialist,"Accident Officer, Tram, Safety Engineer, Safety Engineer"
Civil Engineer,"Civil Engineer, Structural, Civil Engineer, General, Civil Engineer"
Food Safety Inspector,"Environmental Compliance Inspector, Fisheries Inspector, Fisheries Inspector"
Biophilic Design Consultant,"Design Engineer, Product Design Engineer, Product Design Manager"
Science Communicator,"Environmental Science and Protection Technician, Including Health, Material Scientist, Environmental Scientist"
Biotechnology Project Manager,"Sugar Technologist, Biological Chemist, Product Development Manager"
Laboratory Instructor,"Laboratory Attendant, Laboratory Assistant, Physical, Laboratory Assistant, Engineering"
Investment Analyst (Healthcare Sector),"Operations Research Analyst, Risk Management Analyst, Financial Analyst"
Environmental Health Scientist,"Environmental Engineering Technician, Environmental Science and Protection Technician, Including Health, Environmental Scientist"
Genetic Counselor,"Genealogist, Vocational Rehabilitation Counsellor, Counselling Psychologist"
Travel Health Advisor,"Travel Agent, Travel Insurance Executive, Travel Consultant"
Health Services Researcher,"Medical Laboratory Technician, Medical Records and Health Information Technician, Health Educator"
Health IT Project Manager,"Health Officer, Public Health System Design Engineer, Health Club Manager"
Medical Legal Consultant,"Medical Sales Representative, Physician, General, Legal Assistant"
Regulatory Affairs Specialist,"Chairman, Administrative Tribunal, Administrative &amp; Executive Official, Member, Industrial Tribunal"
Digital Marketing Specialist (Healthcare),"Advertising Operations Coordinator (Digital), Digital Marketing Manager, Medical Sales Representative"
Emergency Medical Services (EMS) Logistics Coordinator,"Ambulance Driver, Area Service Manager, Director, Disaster Management Services"
Health Informatics Specialist,"Health Officer, Health Educator, Medical Records and Health Information Technician"
Land Use Attorney,"Real Estate Agent (House Agent), Manager, Land Survey, Attorney at Law"
Architectural Review Board Member,"Draughtperson, Architectural, Architect, Design Engineer"
Digital Media Compliance Officer,"Digital Marketing Manager, Advertising Operations Coordinator (Digital), Traffic Coordinator (Media Organization)"
Employment Lawyer,"Attorney General of India, Legal Assistant, Attorney at Law"
Teacher Contracts Specialist,"Middle School Teacher, Senior Secondary and Secondary School Teacher, Commerce, University and College Teacher, Management Subjects"
Insurance Regulatory Consultant,"Finance Insurance &amp; Registration Coordinator, Director, Insurance, Insurance Agent"
Civil Rights Lawyer,"Legal Assistant, Attorney General of India, Attorney at Law"
Patient Advocate,"Counsellor, Advocate General, Advocate"
Food and Beverage Compliance Officer,"Juice Clarification Supervisor, Laboratory Assistant, Food &amp; Beverages, Food &amp; Beverage Service - Steward"
Elder Law Attorney,"Attorney General of India, Magistrate, Attorney at Law"
Law Enforcement Consultant,"Legal Assistant, Commission Agent, Attorney at Law"
Intellectual Property Attorney,"Attorney General of India, Copyright Clerk, Attorney at Law"
Advertising Attorney,"Sales Representative, Advertising Sales Agent, Attorney at Law"
Transportation Lawyer,"Accident Officer, Tram, Booking Clerk, Transport, Attorney at Law"
Aviation Attorney,"Aircraft Pilot, Specialised, Chief Pilot, Aircraft, Flight Operations Officer"
STEM Policy Advisor,"Government Advocate, Advocate General, Service Advisor"
Agricultural Economist,"Agricultural Engineer, Manager, Agriculture Farm, Economist"
Sustainability Coordinator,"Reclamation Supervisor, Social Ecologist, Ecologist"
Event Planner,"Family Planning Organizer, Meeting, Conference, and Event Planner, Planner"
Supply Chain Manager,"Supply Chain Field Assistant, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Special Education Teacher,"Primary School Teacher, Middle School Language Teacher, Middle School Teacher"
Tax Advisor,"Audit Clerk, Commission Agent, Service Advisor"
Public Relations Specialist (Government),"Administrative Official, State Government, Executive Official, State Government, Public Relations Officer"
Medical Social Worker,"Health Officer, Medical Social Worker, Frontline Health Worker"
Hospitality Trainer,"Spa Trainer, Trainer, Fitness Trainer"
Youth Worker,"General Worker, Child Care Worker, Village Level Worker"
UX Designer,"Interior Designer, Package Designer, Package Designer"
Fire Inspector,"Fire Prevention Officer, Fire Inspector, Fire Officer"
Health and Safety Engineer,"Environmental Science and Protection Technician, Including Health, Safety Engineer, Safety Engineer"
Content Marketing Manager,"Sales Manager, Marketing &amp; Social Media Manager, Digital Marketing Manager"
Distribution Manager,"Sales Manager, Sales Manager, Technical Helper (Distribution)"
Biostatistician,"Medical Physiologist, Pathologist, Medical, Physician, Bio-Chemic"
Food Marketing Specialist,"Food Chemist, Manager, Food Processing Plant, Food Products Packaging Technician"
Construction Superintendent,"Manager, Construction, General Manager, Construction, Construction Work Supervisor"
Digital Content Strategist,"Online Sample Designer, Advertising Operations Coordinator (Digital), Digital Cataloguer"
Entrepreneur/Business Owner,"Business Development Executive, Working Proprietor, Manufacturing, Working Proprietor, Manufacturing/Proprietor, Manufacturing"
E-learning Specialist,"Information Technology (IT) Trainer, University and College Teacher, Information Technology, Automation Specialist"
Credit Analyst,"Risk Management Analyst, Budget Analyst, Financial Analyst"
Public Affairs Specialist,"Administrative &amp; Executive Official, Office Service Executive, Public Relations Officer"
Medical Device Sales Manager,"Brand Manager, Product Brand Manager, Medical Sales Representative"
Food and Beverage Manager,"Laboratory Assistant, Food &amp; Beverages, Manager, Fast Food Service, Food &amp; Beverage Service - Steward"
Geriatric Care Manager,"Housekeeping Supervisor, Hospital Administrator, Customer Care Executive"
Software Development Manager,"Vendor Development Executive, Manager Vendor Development, Product Development Manager"
Correctional Facility Manager,"Personnel Manager, Hospital Administrator, Security Supervisor"
Manufacturing Engineer,"Production Engineer, Production Engineer, Industrial Engineer"
Market Research Analyst,"Financial Analyst, Operations Research Analyst, Market Research Analyst"
Freight Forwarder,"Goods Supervisor, Road Transport, Transport Service Operator, Supervisor and Foreman, Material and Freight Handling"
IT Project Manager,"Service Office Manager, IT Coordinator in School, Product Development Manager"
Wildlife Photographer/Videographer,"Cameraman, Aerial Photographer, Photographer"
Sustainable Construction Advocate,"Working Proprietor, Construction, Construction Work Supervisor, Manager, Construction"
Art Director,"Fine Art Painter, Art Teacher, Art Director"
Museum Curator,"Preservation Assistant, Archives, Archaeologist, Museum Curator"
Performing Arts Director (Education),"Senior Secondary and Secondary School Teacher, Arts, University and College Teacher, Arts Subjects, Art Director"
Arts Fundraiser,"Bamboo Artwork Maker, Inlay Artisan, Artisan"
Museum or Gallery Director (Public Sector),"Director, Theatrical, Art Director, Museum Curator"
Dance Movement Therapist,"Choreographer, Dancer, Dance Director"
Travel Photographer,"Cameraman, Aerial Photographer, Photographer"
Non-Profit Program Director (Arts Services),"Director, Lodging and Catering Services, Director of Other Services, Art Director"
Digital Content Creator (Arts),"Bamboo Artwork Maker, Theatrical and Media Make-Up Artist, Creative Writer"
Contract Negotiator (Arts and Media),"Member, Industrial Tribunal, President, Industrial Tribunal, Working Proprietor, Recreation and Entertainment"
Textile Designer (Manufacturing),"Printing Master (Textile), Textile Technologist, Textile Designer"
Public Relations Specialist (Creative Arts),"Creative Writer, Art Director, Public Relations Officer"
Art Installation Specialist,"Ceramic Technologist, Engraving Artisan, Art Director"
Science Communicator (Visual Arts),"University and College Teacher, Arts Subjects, Visual Inspector - Life Science, Material Scientist"
Animal Nutritionist,"Animal Health Worker, Nutritionist, Animal Nutritionist"
Sustainability Consultant,"Manager Vendor Development, Ecologist, Social Ecologist"
Event Coordinator (Sports),"Manager, Recreation and Entertainment, Athletic Coach, Sports Coach"
Corporate Partnerships Manager (Sports),"Manager, Recreation and Entertainment, Sports Coach, Building Operator Sports Goods"
Camp Director (Sports),"Manager, Recreation and Entertainment, General Manager, Recreation and Entertainment, Sports Coach"
Athlete Financial Advisor,"Professional Athlete, Sports Coach, Athletic Coach"
Community Sports Liaison,"Manager, Recreation and Entertainment, Building Operator Sports Goods, Sports Coach"
Health Coach (Sports Focus),"Health Club Manager, Athletic Coach, Sports Coach"
Resort Activities Coordinator,"Manager, Recreation and Entertainment, Guest Relations Manager, General Manager, Recreation and Entertainment"
Sports Volunteer Coordinator,"Fitness Trainer, Sports Coach, Athletic Coach"
Social Media Analyst (Sports),"Professional Athlete, Sports Coach, Marketing &amp; Social Media Manager"
Sports Investigator,"Detective, Sports Coach, Economic Investigator"
Product Designer (Sports Equipment),"Design Merchandiser, Sports Goods Maker, Wood, Equipment Designer"
Event Marketing Specialist (Sports),"Manager, Recreation and Entertainment, Building Operator Sports Goods, Sports Coach"
Event Transportation Specialist,"Transport Coordinator, Accident Officer, Tram, Bus Conductor"
Sports Technology Developer,"Sports Coach, Sports Goods Maker, Wood, Building Operator Sports Goods"
Market Research Analyst,"Financial Analyst, Operations Research Analyst, Market Research Analyst"
Construction Marketing Specialist,"Construction Work Supervisor, General Manager, Construction, Manager, Construction"
Media Planner,"Meeting, Conference, and Event Planner, Traffic Coordinator (Media Organization), Planner"
Sales Manager,"Sales Director, Sales Manager, Sales Manager"
Academic Advisor,"Principal, College, University and College Teacher, Service Advisor"
Corporate Treasurer,"General Manager, Bank, Accountant, Personal Secretary"
International Relations Specialist,"Public Relations Officer, Station Officer, Overseas Communication, Diplomat"
Public Health Policy Advisor,"Health Educator, Health Officer, Public Health System Design Engineer"
Marketing Manager for Tourism,"Marketing Manager – Line of Business, Regional Service Marketing Manager, Digital Marketing Manager"
Grant Manager,"Procurement Executive, Personnel Manager, Service Advisor"
Digital Marketing Specialist,"Marketing &amp; Social Media Manager, Advertising Operations Coordinator (Digital), Digital Marketing Manager"
Court Reporter,"News Photographer, News Reporter, Reporter"
Process Improvement Coordinator,"IT Coordinator in School, Sales Coordinator, Manager Process Engineering"
Social Media Strategist,"Advertisement Writer, Marketing &amp; Social Media Manager, Business Correspondent"
Transportation Operations Manager,"Transport Coordinator, General Manager - Transport, Transport Manager"
Environmental Scientist,"Environmental Engineering Technician, Environmental Science and Protection Technician, Including Health, Environmental Scientist"
Food and Agriculture Podcast Host,"Animal Nutritionist, Food Chemist, Purchase Assistant - Food and Agricultural Commodities"
Construction Public Relations Specialist,"Construction Work Supervisor, Manager, Construction, Public Relations Officer"
Social Media Content Manager,"Traffic Coordinator (Media Organization), Digital Marketing Manager, Marketing &amp; Social Media Manager"
Public Relations Manager,"Personnel Manager, Guest Relations Manager, Public Relations Officer"
Education Program Coordinator,"Trainee Associate, Service Advisor, IT Coordinator in School"
Corporate Finance PR Manager,"Sales Manager, General Manager, Bank, Bank Manager"
Political Campaign Media Consultant,"Marketing &amp; Social Media Manager, Political Scientist, Traffic Coordinator (Media Organization)"
Health Marketing Specialist,"Digital Marketing Manager, Health Club Manager, Medical Sales Representative"
Hospitality Marketing Coordinator,"Assistant Catering Manager, General Manager, Lodging and Catering Services, Manager, Lodging and Catering Services"
Social Media Manager (Non-Profit),"Manager, Advertising and Promotion, Digital Marketing Manager, Marketing &amp; Social Media Manager"
Tech Content Creator,"Net Maker, Net Maker, Computer Designer"
Social Media Manager (Law Enforcement),"Public Relations Officer, Traffic Coordinator (Media Organization), Marketing &amp; Social Media Manager"
Social Media Manager (Manufacturing),"Manager, Manufacturing, Digital Marketing Manager, Marketing &amp; Social Media Manager"
Social Media Marketing Manager,"Advertising Operations Coordinator (Digital), Marketing &amp; Social Media Manager, Digital Marketing Manager"
Corporate Communications Officer (Logistics),"General Manager - Communication, Contracts Officer (Telecom), Supply Chain Management (SCM) Executive"
Social Media Manager (STEM),"General Manager, Recreation and Entertainment, Digital Marketing Manager, Marketing &amp; Social Media Manager"
Greenhouse Designer,"Gardener, Manager, Aerial Planting and Cultivation, Greenhouse Fitter"
Civil Engineer,"Civil Engineer, Structural, Civil Engineer, General, Civil Engineer"
Lighting Designer,"LED Light Design Engineer, Illumination Engineer, Lighting Artist"
Product Designer,"Design Merchandiser, Product Design Engineer, Product Design Manager"
Education Program Coordinator,"Trainee Associate, Service Advisor, IT Coordinator in School"
Financial Event Designer,"Finance Agent, Computer Designer, Design Merchandiser"
Environmental Policy Consultant,"Environmental Compliance Inspector, Ecologist, Environmental Engineering Technician"
Rehabilitation Space Designer,"Vocational Rehabilitation Counsellor, Physical Design Engineer, Equipment Designer"
Sustainable Hospitality Designer,"Manager, Lodging and Catering Services, Interior Designer, Furniture Designer"
Shelter Designer,"Drawing Tenter, Interior Designer, Furniture Designer"
Smart Home Designer,"Tool Room Designer, Furniture Designer, Assistant Designer - Home Furnishing"
Disaster Shelter Architect,"Fire Protection Systems Design Engineer, Architect, Director, Disaster Management Services"
Furniture Designer,"Furniture Maker (Wood), Furniture Maker, Furniture Designer"
Marketing Campaign Designer,"Advertising Operations Coordinator (Digital), Manager, Advertising and Promotion, Advertising Sales Agent"
Smart Mobility System Designer,"Traffic Planner, Monitor, Telephone, Mobile Equipment Operator"
Occupation G,"Civil Engineer, General, Cultivator General, General Worker"
Food Service Managers,"Food Processing/Production Supervisor, Manager, Food Processing Plant, Manager, Fast Food Service"
Surveyors,"Assistant Mine Surveyor, Surveyor Topographical, Mine Surveyor"
Digital Media Specialists,"ICT Technician, Marketing &amp; Social Media Manager, Digital Marketing Manager"
Management Analyst,"Financial Analyst, Risk Management Analyst, Operations Research Analyst"
Online STEM Course Developer,"University and College Teacher, Information Technology, Online Sample Designer, Front-End Developer"
Investment Banker,"Bank Manager, Financial Analyst, Finance Agent"
Cybersecurity Specialist,"Personal Security Officer, Security Supervisor, Security Officer"
Genetic Counselor,"Genealogist, Vocational Rehabilitation Counsellor, Counselling Psychologist"
Smart Hospitality Consultant,"Service Advisor, General Manager, Lodging and Catering Services, Assistant Beauty/Wellness Consultant"
Genetic Counselor,"Genealogist, Vocational Rehabilitation Counsellor, Counselling Psychologist"
IT Project Manager,"Service Office Manager, IT Coordinator in School, Product Development Manager"
Public Safety Officer ,"Security Supervisor, Security Officer, Personal Security Officer"
Process Technician,"Maintenance Technician, Manager Process Engineering, Process Tryout Technician"
Brand Manager ,"Sales Manager, Product Brand Manager, Brand Manager"
Logistics Engineer,"Industrial Engineer, Supervisor and Foreman, Material and Freight Handling, Infrastructure Engineer"
Research Scientist,"Technologist, Paper, Material Scientist, Environmental Scientist"
Agricultural Extension Officer,"Agriculture Field Officer, Agriculture Extension Service Provider, Agriculture Extension Executive"
Sustainable Construction Specialist ,"General Manager, Construction, Construction Work Supervisor, Manager, Construction"
Health and Wellness Blogger/Vlogger ,"Assistant Beauty/Wellness Consultant, Lady Health Visitor, Health Club Manager"
Healthcare Consultant,"Assistant Beauty/Wellness Consultant, Physician, General, Service Advisor"
Curriculum Developer for Health Sciences,"Biomedical Equipment Technician, Public Health System Design Engineer, Health Educator"
Healthcare Consultant,"Assistant Beauty/Wellness Consultant, Physician, General, Service Advisor"
Health Educator,"Health Officer, Diabetes Educator, Health Educator"
Medical Laboratory Technician,"Biomedical Equipment Technician, Medical Laboratory Technician, Medical Equipment Technician"
Event Coordinator for Health-related Conferences,"Health Club Manager, Guest Relations Manager, Meeting, Conference, and Event Planner"
Substance Abuse Counselor,"Counselling Psychologist, Vocational Rehabilitation Counsellor, Counsellor"
Medical Software Developer,"Biomedical Equipment Technician, Software Tester, Medical Equipment Technician"
Criminal Investigator,"Public Prosecutor, Police Prosecutor, Detective"
Biomanufacturing Technician,"Biomedical Engineer, Biomedical Equipment Technician, Medical Equipment Technician"
Market Research Analyst (Life Sciences),"Risk Management Analyst, Operations Research Analyst, Market Research Analyst"
Healthcare Transportation Manager,"Transport Coordinator, General Manager - Transport, Transport Manager"
Regulatory Affairs Specialist,"Chairman, Administrative Tribunal, Administrative &amp; Executive Official, Member, Industrial Tribunal"
Food Law Consultant,"Food Processing/Production Supervisor, Food Chemist, Purchase Assistant - Food and Agricultural Commodities"
Environmental Impact Assessor,"Environmental Compliance Inspector, Quality Assessor, Environmental Scientist"
Arts Organization Legal Advisor,"Art Director, Attorney at Law, Legal Assistant"
Franchise Lawyer,"Property Dealer, Director, Insurance, Attorney at Law"
Charter School Attorney,"Principal, College, Advocate General, Attorney at Law"
Estate Planning Attorney,"Town Planner, Attorney at Law, Real Estate Agent (House Agent)"
Municipal Lawyer,"Magistrate, Public Prosecutor, Attorney at Law"
Public Health Policy Advisor,"Health Educator, Health Officer, Public Health System Design Engineer"
Resort Development Attorney,"Advocate General, Attorney at Law, Business Development Executive"
Disability Rights Lawyer,"Vocational Rehabilitation Counsellor, Legal Assistant, Attorney at Law"
Corrections Officer,"Personal Security Officer, Probation Officer, Security Officer"
Supply Chain Legal Advisor,"Supply Chain Field Assistant, Supply Chain Field Assistant, Supply Chain Management (SCM) Executive"
Intellectual Property Manager,"Courier Institutional Sales Executive, Vendor Development Executive, Working Proprietor, Storage and Warehousing"
Logistics Compliance Officer,"Warehouse Supervisor, Aircraft Cargo Handling Supervisor, Supervisor and Foreman, Material and Freight Handling"
Intellectual Property Risk Manager,"Operations Research Analyst, Property Dealer, Risk Management Analyst"
Wildlife Conservationist,"Animal Pathologist, Zoologist, Animal Keeper"
Land Use Analyst,"Operations Research Analyst, Manager, Land Survey, Agriculture Field Officer"
Social Media Manager,"Traffic Coordinator (Media Organization), Digital Marketing Manager, Marketing &amp; Social Media Manager"
Financial Analyst,"Risk Management Analyst, Budget Analyst, Financial Analyst"
Educational Administrator,"Health Educator, Principal, College, Hospital Administrator"
Actuary,"Coroner, Commission Agent, Actuary"
