Career (Small List),Exact Matched Careers
"Supervisor and Foreman, Plastic Product Making","Supervisor and Foreman, Plastic Product Making, Supervisor and Foreman, Plastic Product Making"
"Supervisor and Foreman, Sheet and Structural Metal Working","Supervisor and Foreman, Sheet and Structural Metal Working, Supervisor and Foreman, Sheet and Structural Metal Working"
"Supervisor and Foreman, Tobacco Preparation, Cigar and Cigarette Making","Supervisor and Foreman, Tobacco Preparation, Cigar and Cigarette Making, Supervisor and Foreman, Tobacco Preparation, Cigar and Cigarette Making"
"Supervisor and Foreman, Tobacco Product Making","Supervisor and Foreman, Tobacco Product Making, Supervisor and Foreman, Tobacco Product Making"
"Supervisor and Foreman, Welding and Flame Cutting","Supervisor and Foreman, Welding and Flame Cutting, Supervisor and Foreman, Welding and Flame Cutting"
"Supervisors and Foremen, Metal Making, Converting and Refining","Supervisors and Foremen, Metal Making, Converting and Refining, Supervisors and Foremen, Metal Making, Converting and Refining"
"Supervisors and Foremen, Stationary Engine and Related Equipment","Supervisors and Foremen, Stationary Engine and Related Equipment, Supervisors and Foremen, Stationary Engine and Related Equipment"
Surface Grinder Operator,"Surface Grinder Operator, Surface Grinder Operator"
Paper Technologist,Paper Technologist
"Technologist, Plastics","Technologist, Plastics, Technologist, Plastics"
Tool and Die Maker,"Tool and Die Maker, Tool and Die Maker"
Tool Maker,"Tool Maker, Tool Maker"
"Tool Setter, General","Tool Setter, General, Tool Setter, General"
"Tool Setter, Press","Tool Setter, Press, Tool Setter, Press"
"Turbine Operator, Steam","Turbine Operator, Steam, Turbine Operator, Steam"
Wire Drawer,"Wire Drawer, Wire Drawer"
Boiler Maker,Boiler Maker
Structural Fitter,Structural Fitter
"Joiner, Wood","Joiner, Wood"
Metal Sprayer,"Metal Sprayer, Metal Sprayer"
Quality Technician,Quality Technician
Riveter (Railroad Equipment),Riveter (Railroad Equipment)
"Supervisor and Foreman, Stone Cutting and Carving","Supervisor and Foreman, Stone Cutting and Carving"
"Tubesmith, Boiler","Tubesmith, Boiler"
AOI Machine Operator,AOI Machine Operator
Assembly Operator – Capacitor,Assembly Operator – Capacitor
Assembly Operator – Energy Meter,Assembly Operator – Energy Meter
Assembly Operator – PMD and X-Ray,Assembly Operator – PMD and X-Ray
Assembly Operator (Telephone Equipment Manufacturing),Assembly Operator (Telephone Equipment Manufacturing)
Assembly Supervisor,Assembly Supervisor
Automated Optical Inspection Operator,Automated Optical Inspection Operator
Cable Jointer,Cable Jointer
Capping Operator,Capping Operator
Circuit Imaging Operator,"Circuit Imaging Operator, Circuit Imaging Operator"
Circuit Imaging Operator,"Circuit Imaging Operator, Circuit Imaging Operator"
"Coating, Curing and Marking Operator","Coating, Curing and Marking Operator"
Component Preparation Operator,Component Preparation Operator
Customer Inspection Technician,Customer Inspection Technician
"Cutting, Crimping and Connector Assembly Operator","Cutting, Crimping and Connector Assembly Operator"
Die Bonding Operator,Die Bonding Operator
Electronic Mechanic,Electronic Mechanic
Electronic Sub-Assembly Technician,Electronic Sub-Assembly Technician
Electronic Technician,Electronic Technician
"Electronics Fitter, General","Electronics Fitter, General"
Encapsulation Operator,Encapsulation Operator
Field Engineer_RACW-Appliances,Field Engineer_RACW-Appliances
Field Technician - Refrigerator,Field Technician - Refrigerator
Field Technician - Washing Machine,Field Technician - Washing Machine
Final Assembly Operator-Magnetics,Final Assembly Operator-Magnetics
Final Product QC Technician,Final Product QC Technician
Final Testing Technician,Final Testing Technician
Incoming Inspection Technician,Incoming Inspection Technician
Incoming QC Technician,Incoming QC Technician
Inner Layer and Pressing Operator,Inner Layer and Pressing Operator
Installation Mechanic,Installation Mechanic
LED Luminaries Testing and Measurement Technician,LED Luminaries Testing and Measurement Technician
"Line Supervisor, Electrical","Line Supervisor, Electrical"
Maintenance Executive,Maintenance Executive
Maintenance Mechanic,Maintenance Mechanic
Maintenance Technician,Maintenance Technician
Masking Machine Operator,Masking Machine Operator
Material Inspector,Material Inspector
"Precision Instrument Mechanic, Electrical","Precision Instrument Mechanic, Electrical"
Mechanical Fitter – Control Panel,Mechanical Fitter – Control Panel
Mechanical Sub-Assembly Technician,Mechanical Sub-Assembly Technician
Module Assembly Technician,Module Assembly Technician
Module Soldering Operator,Module Soldering Operator
Potting and Curing Operator,Potting and Curing Operator
PV System Maintenance Technician,PV System Maintenance Technician
Reflow-oven Soldering Operator,Reflow-oven Soldering Operator
Reliability Tester,Reliability Tester
Safety Testing Technician,Safety Testing Technician
Safety Testing Technician - RACWO,Safety Testing Technician - RACWO
Site Engineer – Control Panel,Site Engineer – Control Panel
Stencil Printing Operator,Stencil Printing Operator
Test and Repair Technician,Test and Repair Technician
Testing Technician_Active Components,Testing Technician_Active Components
Testing Technician - Passive Components,Testing Technician - Passive Components
Vacuum Plant Operator,Vacuum Plant Operator
Welding Operator,Welding Operator
Wire Bonding Operator,Wire Bonding Operator
Blocking Supervisor,Blocking Supervisor
CAM Machine Operator,CAM Machine Operator
Component Maker,Component Maker
Diamond Assorter,Diamond Assorter
Final Assortment Supervisor,Final Assortment Supervisor
Final Quality Inspector,Final Quality Inspector
Gemstone Facet Maker,Gemstone Facet Maker
Gemstone Final Shaper &amp; Calibrator,Gemstone Final Shaper &amp; Calibrator
Goldsmith Enameller,Goldsmith Enameller
Goldsmith Frame Maker,Goldsmith Frame Maker
Laser Sawing Machine Operator,Laser Sawing Machine Operator
Laser Supervisor,Laser Supervisor
Melter and Refiner,Melter and Refiner
Plater,Plater
Polishing Supervisor,Polishing Supervisor
Rubber Mould Maker,Rubber Mould Maker
"Supervisor, Jewellery, Engraving and Precision Metal Worker","Supervisor, Jewellery, Engraving and Precision Metal Worker"
Wax Model Making Supervisor,Wax Model Making Supervisor
CADCAM Operator (Footwear),CADCAM Operator (Footwear)
"Cutter, Garment (Leather)","Cutter, Garment (Leather), Cutter, Garment (Leather)"
"Designer, Leather Articles","Designer, Leather Articles"
"Dyer, Leather","Dyer, Leather"
"Edge Setter, Machine","Edge Setter, Machine"
"Heel Breaster, Machine (Foot-Wear)","Heel Breaster, Machine (Foot-Wear)"
"Heel Compressor, Machine (Footwear)","Heel Compressor, Machine (Footwear)"
Machine Heeler,Machine Heeler
Helper- Finishing Operations,Helper- Finishing Operations
"Hide and Skin Setter, Machine","Hide and Skin Setter, Machine"
Leather Technologist,Leather Technologist
Moulding Operator,Moulding Operator
Moulding Supervisor,Moulding Supervisor
Pattern Maker (Footwear),Pattern Maker (Footwear)
Pounding Machine Operator,Pounding Machine Operator
Pre-Assembly Operator-Upper Making (Footwear),Pre-Assembly Operator-Upper Making (Footwear)
Quality Control Inspector (Goods and Garments),Quality Control Inspector (Goods and Garments)
Quality Control Inspector (Non-leather),Quality Control Inspector (Non-leather)
Sample Maker (Footwear),Sample Maker (Footwear)
"Seat Laster, Machine","Seat Laster, Machine"
Skiving Operator,"Skiving Operator, Skiving Operator"
Skiving Operator,"Skiving Operator, Skiving Operator"
Machine Staker,Machine Staker
"Supervisor &amp; Foreman, Harness &amp; Saddle Making","Supervisor &amp; Foreman, Harness &amp; Saddle Making"
"Supervisor &amp; Foreman, Leather Goods Making","Supervisor &amp; Foreman, Leather Goods Making"
"Supervisor &amp; Foreman, Shoemaking","Supervisor &amp; Foreman, Shoemaking"
"Welt Sewer, Machine","Welt Sewer, Machine"
Bitumen Mixing Machine Operator,Bitumen Mixing Machine Operator
Cone Operator (Mine and Quarry),Cone Operator (Mine and Quarry)
"Driller, Machine","Driller, Machine"
"Erector, Machine and Equipment","Erector, Machine and Equipment"
Gas Detector,Gas Detector
HEMM (Heavy Earth Moving Machinery) Mechanic,HEMM (Heavy Earth Moving Machinery) Mechanic
"Laboratory Assistant, Metallurgical","Laboratory Assistant, Metallurgical"
"Manager, Quarry","Manager, Quarry"
"Mechanic, Mining Machinery","Mechanic, Mining Machinery"
Mine Machinist,Mine Machinist
Ore Processing Operator,Ore Processing Operator
Overhead Crane Operator,Overhead Crane Operator
"Pipe Machineman, Stoneware","Pipe Machineman, Stoneware"
"Roof Bolter, Mining","Roof Bolter, Mining"
"Stone Cutter, Machine","Stone Cutter, Machine"
"Stone Cutter, Mines","Stone Cutter, Mines"
Stone Sawyer Machine Operator,Stone Sawyer Machine Operator
"Supervisor and Foreman, Mining and Quarrying","Supervisor and Foreman, Mining and Quarrying"
Winding Engineman,Winding Engineman
Plumber (Welder),Plumber (Welder)
"Puncher, Metal","Puncher, Metal"
Production Planning Supervisor,Production Planning Supervisor
Validation Supervisor,Validation Supervisor
"Charge Hand, Rack Wiring (Telephone Equipment) Manufacturing","Charge Hand, Rack Wiring (Telephone Equipment) Manufacturing"
Field Maintenance Engineer,Field Maintenance Engineer
"Inspector, Assembly in Telephone Equipment Manufacturing","Inspector, Assembly in Telephone Equipment Manufacturing"
"Operator, Impregnation Plant (Telephone Equipment Manufacturing)","Operator, Impregnation Plant (Telephone Equipment Manufacturing)"
Kitting and Labelling Executive,Kitting and Labelling Executive
"Supervisor and Foreman, Checking, Sorting, Packing and Related Activities","Supervisor and Foreman, Checking, Sorting, Packing and Related Activities"
Airframe Erector,Airframe Erector
Acid Concentrator,Acid Concentrator
Acid Plant Operator,Acid Plant Operator
Ammonia Plant Operator,Ammonia Plant Operator
Ampoule Machine/Plant Operator,Ampoule Machine/Plant Operator
Bandroll and Levelling Machine Operator,Bandroll and Levelling Machine Operator
"Batch Still Operator, Chemical","Batch Still Operator, Chemical"
Box Filtration Operator,Box Filtration Operator
Brine Maker (Chemical),Brine Maker (Chemical)
"Coke Oven Operator, Controller","Coke Oven Operator, Controller"
Compression Moulding Machine Operator (Plastic),Compression Moulding Machine Operator (Plastic)
Continuous Machine Operator (Match Box Manufacturing),Continuous Machine Operator (Match Box Manufacturing)
"Continuous Still Operator, Chemical","Continuous Still Operator, Chemical"
"Crusher Operator, Chemical","Crusher Operator, Chemical"
Disc Operator (Abrasive),Disc Operator (Abrasive)
Distiller (Chemical),Distiller (Chemical)
Drying Chamber Attendant (Drugs)/ Chamber Operator,Drying Chamber Attendant (Drugs)/ Chamber Operator
Extruding Machine Setter (Plastic),Extruding Machine Setter (Plastic)
Filter Press Operator (Ceramics),Filter Press Operator (Ceramics)
Heat Treater,Heat Treater
Hydrogenation Operator (Oil &amp; Fats)/ Oil and Fat Plant Operator,Hydrogenation Operator (Oil &amp; Fats)/ Oil and Fat Plant Operator
Laminating Press Operator (Plastic),Laminating Press Operator (Plastic)
Mill Operator (Chemical),Mill Operator (Chemical)
Mould Setter (Plastic),Mould Setter (Plastic)
"Pulveriser Operator, Chemical","Pulveriser Operator, Chemical"
Size Maker (Abrasive),Size Maker (Abrasive)
Sulphur Burner Operator,Sulphur Burner Operator
"Supervisor and Foreman, Chemical Processing and Related Activities","Supervisor and Foreman, Chemical Processing and Related Activities"
Synthetic Fibre Maker,Synthetic Fibre Maker
Tablet Coater,Tablet Coater
Tablet Machine Operator,"Tablet Machine Operator, Tablet Machine Operator"
Tablet Machine Operator,"Tablet Machine Operator, Tablet Machine Operator"
"Methods, Time and Motion Study Technician","Methods, Time and Motion Study Technician"
Bottling Plant Incharge,Bottling Plant Incharge
Cold Storage Technician,Cold Storage Technician
Cooker Operator,Cooker Operator
Food Products Packaging Technician,Food Products Packaging Technician
"Pasteuriser, Brewery","Pasteuriser, Brewery"
"Preservative Filler, Machine (Can &amp; Preservation)","Preservative Filler, Machine (Can &amp; Preservation)"
Refining-Machine Operator (Oil &amp; Grease),Refining-Machine Operator (Oil &amp; Grease)
Annealer (Glass Products),Annealer (Glass Products)
Ball Mill Operator (Cement &amp; Ceramics),Ball Mill Operator (Cement &amp; Ceramics)
Batch Mixer (Glass),Batch Mixer (Glass)
Blowing Machine Operator (Glass),Blowing Machine Operator (Glass)
Calibrator (Instrument &amp; Apparatus),Calibrator (Instrument &amp; Apparatus)
Calibrator,Calibrator
Edge Operator (Abrasive),Edge Operator (Abrasive)
Fiberglass Machine Operator,Fiberglass Machine Operator
Glaze Maker,Glaze Maker
"Laboratory Assistant, Glass and Ceramics","Laboratory Assistant, Glass and Ceramics"
"Machine Man, Sheet Glass","Machine Man, Sheet Glass"
Mixing Machine Operator (Abrasive),Mixing Machine Operator (Abrasive)
Glass Mouldman,Glass Mouldman
Polisher (Glass Manufacturing),Polisher (Glass Manufacturing)
Pressman (Abrasive),Pressman (Abrasive)
Pressman (Glass),Pressman (Glass)
Volume Man / Calibrating Technician,Volume Man / Calibrating Technician
"Waxing Man (Glass) / Helper Calibrator / Decorator, Glass","Waxing Man (Glass) / Helper Calibrator / Decorator, Glass"
Automatic Machine Rolled Agarbatti Maker,Automatic Machine Rolled Agarbatti Maker
Color Quality Incharge - Shade Supervisor,Color Quality Incharge - Shade Supervisor
Engobing Operator (Ceramics),Engobing Operator (Ceramics)
Fitter,Fitter
Floor Supervisor (Ceramics),Floor Supervisor (Ceramics)
Bamboo Furniture Maker,Bamboo Furniture Maker
"Furniture Maker, Cane","Furniture Maker, Cane"
Furniture Maker,Furniture Maker
Inspection Operator,Inspection Operator
Loom Supervisor - Knotted Carpet,Loom Supervisor - Knotted Carpet
Maker (Pottery and Porcelain) / Jigger and Jolly Operator,Maker (Pottery and Porcelain) / Jigger and Jolly Operator
"Mechanic Precision Instrument, General","Mechanic Precision Instrument, General"
"Mechanic Precision Instrument, Mechanical","Mechanic Precision Instrument, Mechanical"
Pressman,"Pressman, Pressman"
Quality Supervisor,Quality Supervisor
Sakhta Saaz (Paper Pulp),Sakhta Saaz (Paper Pulp)
Silver Coating Technician,Silver Coating Technician
Stamping Operator,Stamping Operator
"Supervisor and Foreman, Precision Instrument Making (except electrical)","Supervisor and Foreman, Precision Instrument Making (except electrical)"
Tufting Gun Master,Tufting Gun Master
Tufted Weaving Supervisor,Tufted Weaving Supervisor
Blender (Petroleum Refining),Blender (Petroleum Refining)
"Continuous Still Operator, Petroleum","Continuous Still Operator, Petroleum"
Control Man (Petroleum Refining),Control Man (Petroleum Refining)
"Laboratory Assistant, Petroleum and Lubricants","Laboratory Assistant, Petroleum and Lubricants"
Paraffin Plant Operator (Petrol Refining),Paraffin Plant Operator (Petrol Refining)
Pump Man (Petroleum Refining),Pump Man (Petroleum Refining)
Gas Plant Operator,Gas Plant Operator
"Annealer, Metal","Annealer, Metal"
Belt Conveyor Maintenance Technician,Belt Conveyor Maintenance Technician
Cast House Junior Operator,Cast House Junior Operator
Cast House Senior Operator,Cast House Senior Operator
Coil Packaging Machine Operator (Rolling Mills),Coil Packaging Machine Operator (Rolling Mills)
"Control Man, Billet / Process Control","Control Man, Billet / Process Control"
Control Room Operator,Control Room Operator
Convertor Blower Technician,Convertor Blower Technician
Convertor Man / Convertor Blower Technician,Convertor Man / Convertor Blower Technician
Conveyor Operator and Maintainer,Conveyor Operator and Maintainer
Electroplater,Electroplater
Extrusion Press Operator,Extrusion Press Operator
"Fitter Levelling, Alignment &amp; Balancing","Fitter Levelling, Alignment &amp; Balancing"
Fitter: Hydraulic and Pneumatic System,Fitter: Hydraulic and Pneumatic System
Fluid Management Operator - Rolling Mills,Fluid Management Operator - Rolling Mills
Furnace Operator (Chemical),Furnace Operator (Chemical)
Furnace Operator (Smelting &amp; Refining),Furnace Operator (Smelting &amp; Refining)
"Galvanizer / Operator - Electroplating, Galvanising","Galvanizer / Operator - Electroplating, Galvanising"
"Hardener, Metal","Hardener, Metal"
"Hardness Tester, Metal","Hardness Tester, Metal"
Tungsten Inert Gas Welder,Tungsten Inert Gas Welder
Iron &amp; Steel Excavator Operator,Iron &amp; Steel Excavator Operator
Iron &amp; Steel Fitter: Electrical Assembly,Iron &amp; Steel Fitter: Electrical Assembly
Iron &amp; Steel Fitter: Electronic Assembly,Iron &amp; Steel Fitter: Electronic Assembly
Fitter Instrumentation (Iron &amp; Steel Industry),Fitter Instrumentation (Iron &amp; Steel Industry)
Machinist (Iron &amp; Steel),Machinist (Iron &amp; Steel)
Metal Drawing Operative,Metal Drawing Operative
Metal Sprayer,"Metal Sprayer, Metal Sprayer"
"Operator, Hot Rolling Mill (Non-Ferrous Metal)/Mill Operator","Operator, Hot Rolling Mill (Non-Ferrous Metal)/Mill Operator"
"Operator, Strip Mill (Non-Ferrous Metal)","Operator, Strip Mill (Non-Ferrous Metal)"
Process Operator,Process Operator
Process Operator Rolling Mills,Process Operator Rolling Mills
Reeling Machine Operator,Reeling Machine Operator
Mill Operator,Mill Operator
"Roller, Merchant Mill / Mill Operator","Roller, Merchant Mill / Mill Operator"
"Mill Operator / Roller, Sheet Mill","Mill Operator / Roller, Sheet Mill"
Seamless Pipe and Tube Drawer,Seamless Pipe and Tube Drawer
Seamless Pipe and Tube Roller,Seamless Pipe and Tube Roller
Shearing and Upcoiler Operator (Non- Ferrous Metal)/ Coil Operator,Shearing and Upcoiler Operator (Non- Ferrous Metal)/ Coil Operator
Shift Incharge Furnace Ferro Alloys,Shift Incharge Furnace Ferro Alloys
Slitting Machine Operator (Non- Ferrous Metal),Slitting Machine Operator (Non- Ferrous Metal)
Speeder Machine Operator (Abrasive Wheel),Speeder Machine Operator (Abrasive Wheel)
"Stacker, Reclaimer Operator","Stacker, Reclaimer Operator"
"Supervisor and Foreman, Blacksmithy","Supervisor and Foreman, Blacksmithy"
"Supervisor and Foreman, Tool Making/Die Making","Supervisor and Foreman, Tool Making/Die Making"
Technician Furnace Transformers: Ferro Alloys,Technician Furnace Transformers: Ferro Alloys
"Supervisor and Foreman, Musical Instrument Making","Supervisor and Foreman, Musical Instrument Making"
Optical Instrument Mechanic,Optical Instrument Mechanic
Optical Worker,Optical Worker
"Beaterman, Paper Pulp","Beaterman, Paper Pulp"
"Bleacher, Paper Pulp","Bleacher, Paper Pulp"
"Causticman, Paper Pulp/Caustisizing Operator","Causticman, Paper Pulp/Caustisizing Operator"
"Coating-Machine Operator, Hardboard","Coating-Machine Operator, Hardboard"
"Digester Operator, Paper Pulp","Digester Operator, Paper Pulp"
Paper Machine Operator,Paper Machine Operator
"Machineman, Paper, Dry End","Machineman, Paper, Dry End"
"Machineman, Paper, Wet End","Machineman, Paper, Wet End"
Sizing Machine Operator (Abrasive Wheel),Sizing Machine Operator (Abrasive Wheel)
"Supervisor and Foreman, Paper and Paper Board Product Making","Supervisor and Foreman, Paper and Paper Board Product Making"
"Supervisor and Foreman, Paper Pulp and Paper Making","Supervisor and Foreman, Paper Pulp and Paper Making"
"Supervisor and Foreman, Wood Preparation and Paper Making","Supervisor and Foreman, Wood Preparation and Paper Making"
"Valve Operator, Paper Pulp","Valve Operator, Paper Pulp"
"Vatman, Handmade Paper","Vatman, Handmade Paper"
Electrical Technician (High Voltage),Electrical Technician (High Voltage)
Operator Ash Handling - Thermal Power Generation,Operator Ash Handling - Thermal Power Generation
Operator Water Treatment - Thermal Power Generation,Operator Water Treatment - Thermal Power Generation
Power Plant Millwright Fitter,Power Plant Millwright Fitter
"Technician - Substation Erection &amp; Commissioning (66/11,33/11 KV) - Power Distribution","Technician - Substation Erection &amp; Commissioning (66/11,33/11 KV) - Power Distribution"
Technician: Distribution Transformer Repair,Technician: Distribution Transformer Repair
Distributor (Letter Press),Distributor (Letter Press)
"Machineman, Automatic Printing","Machineman, Automatic Printing"
"Machineman, Direct Lithographic Printing","Machineman, Direct Lithographic Printing"
"Machineman, Hand Printing","Machineman, Hand Printing"
"Machineman, Offset Printing","Machineman, Offset Printing"
"Machineman, Rotary Printing","Machineman, Rotary Printing"
"Mechanic, Printing Machinery","Mechanic, Printing Machinery"
Mono Operator,Mono Operator
Mounter / Mounting Machine Operator / CNC Mounting Machine Operator,Mounter / Mounting Machine Operator / CNC Mounting Machine Operator
Precision Printing Worker,Precision Printing Worker
"Pressman, Roto Gravure","Pressman, Roto Gravure"
Printing Machine Operator (Plastic),Printing Machine Operator (Plastic)
"Supervisor and Foreman, Printing and Related Work","Supervisor and Foreman, Printing and Related Work"
"Coach Builder, Railway","Coach Builder, Railway"
Stationary Steam Engine Mechanic,Stationary Steam Engine Mechanic
Bead Maker (Rubber Tyre),Bead Maker (Rubber Tyre)
Building Operator Conveyor Belt,Building Operator Conveyor Belt
Building Operator - Rubber to Metal Bonding,Building Operator - Rubber to Metal Bonding
Calendering Supervisor,Calendering Supervisor
Continuous Curing Operator,Continuous Curing Operator
Continuous Foaming Machine Operator,Continuous Foaming Machine Operator
Curing Chamber Operator,Curing Chamber Operator
Dip Solution Preparation Operator,Dip Solution Preparation Operator
Dipping Plant Operator,Dipping Plant Operator
Dispersion Maker,Dispersion Maker
Extruder Operator,Extruder Operator
Extruding Machine Operator (Rubber),Extruding Machine Operator (Rubber)
Extrusion Supervisor,Extrusion Supervisor
Finishing Operator (Non-Tyre),Finishing Operator (Non-Tyre)
Finishing Operator (Rubber Tube),Finishing Operator (Rubber Tube)
Finishing Operator (Rubber Tyre),Finishing Operator (Rubber Tyre)
Finishing Supervisor,Finishing Supervisor
Injection Moulding Operator,"Injection Moulding Operator, Injection Moulding Operator"
Internal Mixer Operator,Internal Mixer Operator
Junior Rubber Technician / Technical Assistant,Junior Rubber Technician / Technical Assistant
Latex Compounder,Latex Compounder
Latex Compounding Supervisor,Latex Compounding Supervisor
Manager QA (CENEX),Manager QA (CENEX)
"Mixer, Rubber","Mixer, Rubber"
Mixing Supervisor,Mixing Supervisor
Mould Cleaning and Inspection Operator,Mould Cleaning and Inspection Operator
Moulder (Rubber),Moulder (Rubber)
"Moulder, Rubber Tube","Moulder, Rubber Tube"
Moulding-Curing Supervisor,Moulding-Curing Supervisor
Packaging Operator,Packaging Operator
Profiling Operator (Cycle Tyre),Profiling Operator (Cycle Tyre)
QA Supervisor,QA Supervisor
QA Technician (Latex),QA Technician (Latex)
Quality Control Inspector - Calendering,Quality Control Inspector - Calendering
Quality Control Inspector - Dimension Check,Quality Control Inspector - Dimension Check
Quality Control Inspector - Extrusion,Quality Control Inspector - Extrusion
Quality Control Inspector - Statistical Process Control,Quality Control Inspector - Statistical Process Control
Quality Control Inspector - Visual Inspection,Quality Control Inspector - Visual Inspection
Refining Operator,Refining Operator
Roto Curing Operator,Roto Curing Operator
Sealing and Valve Fitting Operator,Sealing and Valve Fitting Operator
Senior Rubber Technician,Senior Rubber Technician
Sheet Maker (Rubber),Sheet Maker (Rubber)
Slitting Machine Operator (Cycle Tyre),Slitting Machine Operator (Cycle Tyre)
Stock-Component-Bead Preparation Supervisor,Stock-Component-Bead Preparation Supervisor
Straining Operator,Straining Operator
Straining Operator (Rubber Reclaim),Straining Operator (Rubber Reclaim)
"Supervisor and Foreman, Rubber Goods Making","Supervisor and Foreman, Rubber Goods Making"
"Technologist, Rubber","Technologist, Rubber"
Transfer Moulding Operator,Transfer Moulding Operator
Trimmer (Tyre Building),Trimmer (Tyre Building)
Tube De-Mandrelling Operator,Tube De-Mandrelling Operator
Tube Extruder Operator,Tube Extruder Operator
Tube Splicing Operator,Tube Splicing Operator
Tyre Building Operator - Off the Road Tyres,Tyre Building Operator - Off the Road Tyres
Tyre Building Operator Solid Tyre,Tyre Building Operator Solid Tyre
Tyre Moulding Operator,Tyre Moulding Operator
"Fitter, Marine","Fitter, Marine"
Shipwright,Shipwright
Autoconer Tenter,Autoconer Tenter
"Bale Breaker Tenter, Cotton/ Blowroom Operator","Bale Breaker Tenter, Cotton/ Blowroom Operator"
Calenderman (Cotton Textile),Calenderman (Cotton Textile)
Colour Maker (Textile Product),Colour Maker (Textile Product)
Compacting Machine Operator,Compacting Machine Operator
Doubling- Machine Operator (Textile),Doubling- Machine Operator (Textile)
Drying Machine Operator,Drying Machine Operator
Dyeing and Bleaching Master,Dyeing and Bleaching Master
Garment Dyer,Garment Dyer
Fiber Technologist,Fiber Technologist
Fitter - AutoLoom Weaving Machine,Fitter - AutoLoom Weaving Machine
Fitter - Post Spinning,Fitter - Post Spinning
Fitter - Processing,Fitter - Processing
Fitter - Ring Spinning,Fitter - Ring Spinning
Fitter - Shuttleless Weaving Machine Projectile,Fitter - Shuttleless Weaving Machine Projectile
Fitter - Spinning Preparatory,Fitter - Spinning Preparatory
Fitter - Weaving Preparatory,Fitter - Weaving Preparatory
"Garnette Machine Operator, Woollen","Garnette Machine Operator, Woollen"
Jobber (Textile),Jobber (Textile)
Kierman/Package Dyeing Machine Operator,Kierman/Package Dyeing Machine Operator
"Mechanic, Textile Machinery","Mechanic, Textile Machinery"
Oiler - Weaving Machine Maintenance,Oiler - Weaving Machine Maintenance
Padding Machineman/Padding Mangle Operator,Padding Machineman/Padding Mangle Operator
Press Operator,Press Operator
Printing Master (Textile),Printing Master (Textile)
Raising Machineman (Textile),Raising Machineman (Textile)
Reeler Textile,Reeler Textile
Sanforizing Machineman,Sanforizing Machineman
Screen Preparatory Operator - RotaryFlat Bed,Screen Preparatory Operator - RotaryFlat Bed
Shuttle-less Loom Weaver - Airjet,Shuttle-less Loom Weaver - Airjet
Size Mixer (Textile),Size Mixer (Textile)
"Spinner, Frame (Textile)/Ring Frame Tenter","Spinner, Frame (Textile)/Ring Frame Tenter"
Spinning Master,Spinning Master
"Splicing - Machine Operator, Automatic (Textile)","Splicing - Machine Operator, Automatic (Textile)"
Stenter Machine Operator,Stenter Machine Operator
Stentering Machineman/Stentering Operator,Stentering Machineman/Stentering Operator
"Supervisor and Foreman, Brush Making","Supervisor and Foreman, Brush Making"
"Supervisor and Foreman, Hosiery","Supervisor and Foreman, Hosiery"
"Tailor, Fur","Tailor, Fur"
Textile Technologist,Textile Technologist
Warp Tying Machineman,Warp Tying Machineman
Waste Machine Man (Cotton Textile)/Waste Collection Machine Operator,Waste Machine Man (Cotton Textile)/Waste Collection Machine Operator
Winder Textile/Winding Operator,Winder Textile/Winding Operator
Furnace Man (Bidi Industry),Furnace Man (Bidi Industry)
Wastewater Treatment Plant Operator,Wastewater Treatment Plant Operator
"Barrel-Lathe Operator, Outside (Wood Container)","Barrel-Lathe Operator, Outside (Wood Container)"
Cabinet Maker,Cabinet Maker
"Carpenter Worker, Boat Building","Carpenter Worker, Boat Building"
Boat Building Carpenter,Boat Building Carpenter
Circular Saw Operator,Circular Saw Operator
Dowell Machine Operator,Dowell Machine Operator
"Examiner, Wood Working","Examiner, Wood Working"
Furniture Maker (Wood),Furniture Maker (Wood)
Jointer Machine Operator,Jointer Machine Operator
Mortiser Operator,Mortiser Operator
"Moulder, Wood","Moulder, Wood"
"Pattern Marker, Wood","Pattern Marker, Wood"
Wood Planer,Wood Planer
Shaper Wood,Shaper Wood
"Sports Goods Maker, Wood","Sports Goods Maker, Wood"
"Supervisor and Foreman, Wood Working (Machine)","Supervisor and Foreman, Wood Working (Machine)"
"Wood Machinist, General","Wood Machinist, General"
"Wood Sawyer, Machine, General","Wood Sawyer, Machine, General"
"Junior Mechanic (Electrical, Electronics, Instrumentation)","Junior Mechanic (Electrical, Electronics, Instrumentation)"
Maintenance Supervisor,Maintenance Supervisor
Mechanic (Electrical Electronics Instrumentation),Mechanic (Electrical Electronics Instrumentation)
Shaper,"Shaper, Shaper"
"Leaf Maker, Gold and Silver","Leaf Maker, Gold and Silver"
Lasting Operator,Lasting Operator
Machine Scudder,Machine Scudder
Filterman,Filterman
"Tapper, Rubber","Tapper, Rubber, Tapper, Rubber"
"Tapper, Rubber","Tapper, Rubber, Tapper, Rubber"
"Button Hole Maker, Machine","Button Hole Maker, Machine"
Button Hole Marker,Button Hole Marker
Button Stitching Machine Operator,Button Stitching Machine Operator
Cap Maker,Cap Maker
Coat Maker,Coat Maker
Cushion Maker,Cushion Maker
"Cutter, Garment (Leather)","Cutter, Garment (Leather), Cutter, Garment (Leather)"
"Cutter, Hand (Textile Product)","Cutter, Hand (Textile Product)"
"Cutter, Machine (Textile Product)","Cutter, Machine (Textile Product)"
Darner,Darner
"Embroider, Machine","Embroider, Machine"
